video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_picnic_table,perc_handrail,perc_curb,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
The_Brotherhood,0.0,10.0,0.0,0.0,0.0,0.0,0.0,48.0,71.0,0.0,10.0,10.0,43.0
Stacked,7.0,11.0,0.0,50.0,0.0,0.0,0.0,14.0,96.0,4.0,4.0,54.0,36.0
Disturbed,18.0,36.0,0.0,0.0,0.0,0.0,18.0,36.0,100.0,0.0,36.0,18.0,73.0
Eastern_Exposure_2,0.0,53.0,0.0,0.0,0.0,0.0,0.0,16.0,94.0,0.0,72.0,22.0,50.0
411_#8,6.0,53.0,0.0,6.0,0.0,6.0,0.0,29.0,100.0,0.0,71.0,41.0,29.0
Real_Life,16.0,30.0,0.0,11.0,0.0,16.0,0.0,19.0,78.0,0.0,50.0,36.0,36.0
Thrasher_Feats,40.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,60.0,50.0,30.0
Eastern_Exposure_3,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,50.0,25.0
Timecode,6.0,24.0,0.0,6.0,0.0,9.0,0.0,32.0,65.0,3.0,21.0,47.0,24.0
Zoo_York_Peep_This,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,33.0,33.0
Photosynthesis,21.0,36.0,0.0,4.0,0.0,11.0,0.0,18.0,81.0,7.0,67.0,37.0,22.0
Mosaic,17.0,29.0,0.0,20.0,0.0,0.0,0.0,11.0,88.0,3.0,32.0,56.0,24.0
Decade_of_Destruction,4.0,5.0,0.0,42.0,0.0,0.0,0.0,20.0,84.0,0.0,2.0,35.0,33.0
Inhabitants,15.0,35.0,0.0,25.0,0.0,0.0,0.0,4.0,91.0,1.0,18.0,44.0,49.0
Last_of_the_Mohicans,5.0,47.0,0.0,5.0,0.0,0.0,0.0,26.0,95.0,0.0,16.0,42.0,32.0
Brutality,8.0,25.0,0.0,40.0,0.0,2.0,0.0,6.0,92.0,0.0,6.0,27.0,45.0
Frontside_Skate_Shop,19.0,22.0,0.0,17.0,0.0,0.0,0.0,19.0,67.0,0.0,17.0,36.0,19.0
Worst_Skater_of_the_Year,3.0,43.0,0.0,23.0,0.0,3.0,3.0,17.0,89.0,0.0,9.0,43.0,40.0
Habitat_Origins,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
The_Other_Ones,7.0,23.0,0.0,37.0,0.0,0.0,0.0,14.0,83.0,5.0,17.0,17.0,52.0
Welcome_to_Seasons,29.0,29.0,0.0,29.0,0.0,0.0,0.0,14.0,100.0,0.0,43.0,43.0,14.0
Real_Street,11.0,17.0,0.0,44.0,0.0,6.0,0.0,17.0,89.0,0.0,6.0,39.0,33.0
Sober?,0.0,31.0,0.0,46.0,0.0,0.0,0.0,15.0,92.0,0.0,0.0,38.0,38.0
Habitat_Search_the_Horizon,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,67.0,33.0
Dirts_Win,24.0,18.0,0.0,18.0,0.0,6.0,0.0,6.0,100.0,0.0,35.0,35.0,29.0
Domestics,6.0,0.0,0.0,44.0,0.0,6.0,0.0,19.0,88.0,0.0,6.0,19.0,19.0
OJ_Wheels,0.0,11.0,0.0,56.0,0.0,0.0,0.0,6.0,94.0,0.0,6.0,24.0,59.0
