trick,count
kickflip,19
ollie,16
fs boardslide,12
fs 5050,12
bs 360,11
bs kickflip,10
fs smith,10
hill bomb,10
tre flip,10
bs boardslide,10
fs lipslide,8
bs crook,6
fs kickflip,6
fs tailslide,6
fs crook,6
bs boardslide to fakie,6
bs tailslide,5
fs tailslide to fakie,5
bs feeble,5
nollie kickflip,4
fs boardslide to fakie,4
bs lipslide,4
fakie kickflip,4
sw heelflip,4
fs nosegrind,4
fs 5-0,4
fs lipslide to fakie,4
bs noseslide,3
nose manny to nollie impossible,3
bunny hop,3
no comply,3
bs bigspin,3
fs noseslide,3
hardflip,3
impossible,3
heelflip,3
bs 180,3
nollie heelflip,3
sw fs 180,3
