"video","perc_stair","perc_ledge","perc_manual","perc_transition","perc_picnic","perc_handrail","perc_curb","perc_flat","perc_distinct","perc_slowmo","perc_switch","perc_fs","perc_bs"
"101_WWII_Report",18.0,21.0,15.0,0.0,0.0,6.0,3.0,12.0,91.0,0.0,33.0,36.0,45.0
"Union_Right_to_Skate",10.0,63.0,3.0,0.0,0.0,0.0,43.0,23.0,97.0,3.0,47.0,27.0,47.0
"H_Street_Next_Generation",6.0,21.0,10.0,30.0,0.0,6.0,9.0,8.0,90.0,6.0,19.0,35.0,50.0
"Girl_Goldfish",9.0,22.0,2.0,0.0,0.0,0.0,0.0,60.0,73.0,0.0,64.0,25.0,35.0
"101_Falling_Down",8.0,50.0,19.0,0.0,0.0,0.0,12.0,15.0,92.0,0.0,46.0,33.0,46.0
"Girl_Pretty_Sweet",33.0,33.0,17.0,8.0,0.0,0.0,0.0,8.0,100.0,18.0,27.0,36.0,64.0
"Etnies_High_5",0.0,42.0,0.0,0.0,0.0,0.0,0.0,33.0,100.0,0.0,67.0,8.0,58.0
"Transworld_Uno",0.0,41.0,0.0,0.0,18.0,18.0,0.0,12.0,82.0,0.0,35.0,35.0,59.0
"Girl_Mouse",3.0,31.0,5.0,0.0,8.0,23.0,0.0,16.0,87.0,0.0,61.0,49.0,41.0
"Chocolate_The_Chocolate_Tour",9.0,45.0,0.0,0.0,0.0,18.0,0.0,9.0,100.0,24.0,38.0,33.0,52.0
"Lakai_Fully_Flared",28.0,19.0,10.0,2.0,2.0,17.0,0.0,3.0,98.0,23.0,51.0,45.0,43.0
"Nike_The_SB_Chronicles_Vol_3",0.0,18.0,12.0,10.0,2.0,8.0,0.0,2.0,91.0,29.0,18.0,32.0,53.0
"Girl_Yeah_Right",9.0,20.0,12.0,0.0,6.0,33.0,0.0,2.0,86.0,28.0,49.0,31.0,49.0
"eS_Menikmati",5.0,35.0,5.0,0.0,2.0,37.0,0.0,5.0,88.0,41.0,59.0,41.0,37.0
"Chomp_On_This",4.0,36.0,14.0,0.0,0.0,7.0,0.0,12.0,93.0,7.0,22.0,33.0,41.0
